Código;Matrícula;Fecha Matriculación;Marca;Modelo;Tipo;Variante;Clasificación medioambiental;Combustible;Cilindrada;Potencia;Número de Plazas;Fecha inicio de prestación del servicio de taxi;Eurotaxi;Régimen Especial;Fecha extracción dato
1387443;6440JHJ;03/08/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;06/08/2015;NO;No;;;18/06/2024
1379863;3271JFG;04/05/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;05/05/2015;NO;No;;;18/06/2024
1567885;2918JFC;28/04/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;11/09/2019;NO;No;;;18/06/2024
1383753;0063JGD;12/06/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;16/06/2015;NO;No;;;18/06/2024
1379360;5515JDZ;24/04/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;28/04/2015;NO;No;;;18/06/2024
1382141;0128JFT;28/05/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;28/05/2015;NO;No;;;18/06/2024
1381493;1598JFN;20/05/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;21/05/2015;NO;No;;;18/06/2024
1378531;3862JDW;16/04/2015;CITROEN;C-ELYSEE;FE-CO1/1;FE14C;ECO;B: Gasolina/GLP;1587;85;5;17/04/2015;NO;No;;;18/06/2024
1353576;3621JBN;10/12/2014;CITROEN;C4 PICASSO;3;3DAHR*;C;M: Diesel;1997;110;5;18/12/2014;NO;No;;;18/06/2024
1426806;0817JNV;10/05/2016;CITROEN;C4 PICASSO;3;3DAHR*;C;M: Diesel;1997;110;5;12/05/2016;NO;No;;;18/06/2024
1422949;3073JMX;31/03/2016;CITROEN;C4 PICASSO;3;3DAHR*;C;M: Diesel;1997;110;5;05/04/2016;NO;No;;;18/06/2024
1398347;7858JKP;15/12/2015;CITROEN;C4 PICASSO;3;3DAHR*;C;M: Diesel;1997;110;5;17/12/2015;NO;No;;;18/06/2024
1398601;2596JKS;17/12/2015;CITROEN;C4 PICASSO;3;3DAHR*;C;M: Diesel;1997;110;5;21/12/2015;NO;No;;;18/06/2024
